Day,StartTime,EndTime,Course,Teacher,Room
MONDAY,08:00,08:50,Chemistry For Electronics Engineering,Suresh kumar S,D110
MONDAY,09:00,09:50,Chemistry For Electronics Engineering,Suresh kumar S,D110
MONDAY,10:00,10:50,Chemistry For Electronics Engineering,Suresh kumar S,D110
TUESDAY,13:20,15:00,Chemistry For Electronics Engineering,Suresh kumar S,Chemistry Lab
TUESDAY,15:00,16:40,Chemistry For Electronics Engineering,Suresh kumar S,Chemistry Lab
TUESDAY,10:00,10:50,Linear Algebra and Calculus,Dr. Vinod Kumar R,D111
TUESDAY,11:00,11:50,Linear Algebra and Calculus,Dr. Vinod Kumar R,D111
TUESDAY,12:00,12:50,Linear Algebra and Calculus,Dr. Vinod Kumar R,D202
TUESDAY,09:00,09:50,Linear Algebra and Calculus,Dr. Vinod Kumar R,D203
MONDAY,13:00,13:50,Technical Communication -I,New Faculty English (NS-NFE-3),D111
MONDAY,14:00,14:50,Technical Communication -I,New Faculty English (NS-NFE-3),D111
MONDAY,11:00,11:50,Heritage Of Tamils,Mrs. Sharmila B,D202
TUESDAY,08:00,08:50,Indian Constitution and Freedom Movement,Mrs. G.Janet,D203
MONDAY,15:00,15:50,Indian Constitution and Freedom Movement,Mrs. G.Janet,D202
MONDAY,16:00,16:50,Indian Constitution and Freedom Movement,Mrs. G.Janet,D202
FRIDAY,13:00,13:50,Programming using C,ECE-NF2,D110
FRIDAY,08:00,09:40,Programming using C,ECE-NF2,Food Chemistry Lab
FRIDAY,10:00,11:40,Programming using C,ECE-NF2,Isaac Asimov Laboratory
TUESDAY,15:00,16:40,Programming using C,ECE-NF2,Food Chemistry Lab
TUESDAY,13:20,15:00,Programming using C,ECE-NF2,Food Chemistry Lab
FRIDAY,15:00,16:40,Programming using C,ECE-NF2,Food Chemistry Lab
WEDNESDAY,08:00,09:40,Programming using C,ECE-NF2,Food Chemistry Lab
WEDNESDAY,13:00,13:50,Electron Devices,Mrs. Dr.S.Suganthi,D203
WEDNESDAY,11:00,11:50,Electron Devices,Mrs. Dr.S.Suganthi,D204
WEDNESDAY,10:00,10:50,Electron Devices,Mrs. Dr.S.Suganthi,D205
WEDNESDAY,08:00,09:40,Electron Devices,Mrs. Dr.S.Suganthi,Engineering Practices Lab (Electronics)
FRIDAY,08:00,09:40,Electron Devices,Mrs. Dr.S.Suganthi,Engineering Practices Lab (Electronics)
