day,time_range,teacher_id,teacher_name
fri,10:00 - 10:50 to 10:50 - 11:40,1755,New Faculty Computer Science & Engineering (NS-New Staff-3)
thur,10:00 - 10:50 to 10:50 - 11:40,1755,New Faculty Computer Science & Engineering (NS-New Staff-3)
thur,8:00 - 8:50 to 8:50 - 9:40,1755,New Faculty Computer Science & Engineering (NS-New Staff-3)
thur,1:00 - 1:50,1755,New Faculty Computer Science & Engineering (NS-New Staff-3)
thur,2:00 - 2:50,1755,New Faculty Computer Science & Engineering (NS-New Staff-3)
monday,10:00 - 10:50 to 10:50 - 11:40,1755,New Faculty Computer Science & Engineering (NS-New Staff-3)
monday,8:00 - 8:50,1755,New Faculty Computer Science & Engineering (NS-New Staff-3)
wed,10:00 - 10:50,1755,New Faculty Computer Science & Engineering (NS-New Staff-3)
wed,11:00 - 11:50,1755,New Faculty Computer Science & Engineering (NS-New Staff-3)
tuesday,3:00 - 3:50,1755,New Faculty Computer Science & Engineering (NS-New Staff-3)
