day,time_slot,slot_index,course_instance_id,course_code,course_name,session_type,session_number,teacher_id,teacher_name,staff_code,room_id,room_number,block,student_count,lecture_hours,tutorial_hours,schedule_type,is_co_scheduled,capacity_info,partner_instance_id,group_name,group_index,department,semester,day_pattern,sessionIndex,co_schedule_info,capacity,sessionId
monday,1:00 - 1:50,5,877,CS19PE04,Advanced Robotic Process Automation,Lecture,6,204,Mr. Bhuvaneswaran B,CS77,3,A104/105,A Block,140,6,0,theory,False,Regular: 70 students,,Computer Science & Engineering_S7_G3,3,Computer Science & Engineering,7,Monday-Friday,1662,,70,theory_CS19PE04_Mr. Bhuvaneswaran B_ff7c71e1
monday,2:00 - 2:50,6,877,CS19PE04,Advanced Robotic Process Automation,Lecture,6,204,Mr. Bhuvaneswaran B,CS77,3,A104/105,A Block,140,6,0,theory,False,Regular: 70 students,,Computer Science & Engineering_S7_G3,3,Computer Science & Engineering,7,Monday-Friday,1663,,70,theory_CS19PE04_Mr. Bhuvaneswaran B_bfb1c3dc
monday,4:00 - 4:50,8,207-A,CS23311 (Combined 140-student course),Computer Architecture,Lecture,3,191,Mr. Dr V.Murali Bhaskaran,CS218,3,A104/105,A Block,140,3,0,theory,True,Co-scheduled: 140 students total,207-B,Computer Science & Engineering_S3_G6,6,Computer Science & Engineering,3,Monday-Friday,2478,✅ Marked co-scheduled sessions (Lines 5579-5658),140,theory_CS23311 (Combined 140-student course)_Mr. Dr V.Murali Bhaskaran_84ebf1e2
monday,3:00 - 3:50,7,207-A,CS23311 (Combined 140-student course),Computer Architecture,Lecture,1,191,Mr. Dr V.Murali Bhaskaran,CS218,3,A104/105,A Block,140,3,0,theory,True,Co-scheduled: 140 students total,207-B,Computer Science & Engineering_S3_G6,6,Computer Science & Engineering,3,Monday-Friday,2490,✅ Marked co-scheduled sessions (Lines 5579-5658),140,theory_CS23311 (Combined 140-student course)_Mr. Dr V.Murali Bhaskaran_971ef2b4
wed,8:00 - 8:50,0,877,CS19PE04,Advanced Robotic Process Automation,Lecture,6,204,Mr. Bhuvaneswaran B,CS77,3,A104/105,A Block,140,6,0,theory,False,Regular: 70 students,,Computer Science & Engineering_S7_G3,3,Computer Science & Engineering,7,Monday-Friday,1664,,70,theory_CS19PE04_Mr. Bhuvaneswaran B_b26a8d8d
wed,9:00 - 9:50,1,877,CS19PE04,Advanced Robotic Process Automation,Lecture,6,204,Mr. Bhuvaneswaran B,CS77,3,A104/105,A Block,140,6,0,theory,False,Regular: 70 students,,Computer Science & Engineering_S7_G3,3,Computer Science & Engineering,7,Monday-Friday,1665,,70,theory_CS19PE04_Mr. Bhuvaneswaran B_efed192b
thur,10:00 - 10:50,2,783-A,IT19P78 (Combined 140-student course),Software Testing,Lecture,2,416,Dr. Valarmathie Dinakaran,IT240,3,A104/105,A Block,140,3,0,theory,True,Co-scheduled: 140 students total,783-B,Information Technology_S7_G2,2,Information Technology,7,Tuesday-Saturday,1985,✅ Marked co-scheduled sessions (Lines 5579-5658),70,theory_IT19P78 (Combined 140-student course)_Dr. Valarmathie Dinakaran_46a54cb4
thur,11:00 - 11:50,3,207-A,CS23311 (Combined 140-student course),Computer Architecture,Lecture,2,191,Mr. Dr V.Murali Bhaskaran,CS218,3,A104/105,A Block,140,3,0,theory,True,Co-scheduled: 140 students total,207-B,Computer Science & Engineering_S3_G6,6,Computer Science & Engineering,3,Monday-Friday,2491,✅ Marked co-scheduled sessions (Lines 5579-5658),140,theory_CS23311 (Combined 140-student course)_Mr. Dr V.Murali Bhaskaran_6044184c
fri,10:00 - 10:50,2,783-A,IT19P78 (Combined 140-student course),Software Testing,Lecture,3,416,Dr. Valarmathie Dinakaran,IT240,3,A104/105,A Block,140,3,0,theory,True,Co-scheduled: 140 students total,783-B,Information Technology_S7_G2,2,Information Technology,7,Tuesday-Saturday,1987,✅ Marked co-scheduled sessions (Lines 5579-5658),70,theory_IT19P78 (Combined 140-student course)_Dr. Valarmathie Dinakaran_b664cdf6
fri,9:00 - 9:50,6,2020,CS23512,Fundamentals of Mobile Computing,Lecture,2,2,HOD CSE,AE23,3,A104/105,A Block,140,3,0,theory,True,Regular: 70 students,,Computer Science & Engineering_S5_G5,5,Computer Science & Engineering,5,Monday-Friday,2770,✅ Marked co-scheduled sessions (Lines 5579-5658),140,theory_CS23512_HOD CSE_0ceac618
saturday,10:00 - 10:50,2,996-A,AI23231 (Combined 140-student course),Principles of Artificial Intelligence,Lecture,3,413,Ms. Bhuvaneshwari Muthukumaran,IT259,3,A104/105,A Block,140,3,0,theory,True,Co-scheduled: 140 students total,996-B,Information Technology_S5_G2,2,Information Technology,5,Tuesday-Saturday,2365,✅ Marked co-scheduled sessions (Lines 5579-5658),140,theory_AI23231 (Combined 140-student course)_Ms. Bhuvaneshwari Muthukumaran_8f6757b5
tuesday,10:00 - 10:50,5,1117-A,IT23PE11 (Combined 140-student course),INTERNET OF THINGS,Lecture,3,41,Dr. Sampath Kumar V,IT256,3,A104/105,A Block,140,3,0,theory,True,Co-scheduled: 140 students total,1117-B,Artificial Intelligence & Data Science_S5_G5,5,Artificial Intelligence & Data Science,5,Tuesday-Saturday,2728,✅ Virtual instance co-scheduling (Lines 1295-1369),140,theory_IT23PE11 (Combined 140-student course)_Dr. Sampath Kumar V_d2bcc674
