Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,08:00,08:50,Database Management Systems,AIML 2.4,B425
WEDNESDAY,15:00,15:50,Database Management Systems,AIML 2.4,B423
TUESDAY,18:00,18:50,Database Management Systems,AIML 2.4,B425
THURSDAY,11:50,13:30,Database Management Systems,AIML 2.4,JL1
THURSDAY,09:50,11:30,Database Management Systems,AIML 2.4,TLFR3
SATURDAY,09:50,11:30,Database Management Systems,AIML 2.4,Process Control Lab
FRIDAY,17:30,19:10,Database Management Systems,AIML 2.4,Embedded System Laboratory(EEE)
TUESDAY,11:00,11:50,Information Retrieval (Professional Elective V),AIML 4.2,B320
WEDNESDAY,10:00,10:50,Information Retrieval (Professional Elective V),AIML 4.2,B210
SATURDAY,11:50,13:30,Information Retrieval (Professional Elective V),AIML 4.2,Physics LAB - 2
TUESDAY,11:50,13:30,Information Retrieval (Professional Elective V),AIML 4.2,Industrial Automation Lab
