Day,StartTime,EndTime,Course,Groups,Room
FRIDAY,17:00,17:50,Computer Architecture,CSE 2.6,B419
THURSDAY,17:00,17:50,Computer Architecture,CSE 2.6,A303
THURSDAY,15:00,15:50,Computer Architecture,CSE 2.6,C102
FRIDAY,09:00,09:50,Web Programming,CSE 3.5,B423
WEDNESDAY,11:00,11:50,Web Programming,CSE 3.5,B402
FRIDAY,11:00,11:50,Web Programming,CSE 3.5,A302
TUESDAY,09:50,11:30,Web Programming,CSE 3.5,Manufacturing Technology II
MONDAY,17:30,19:10,Web Programming,CSE 3.5,Electrical Machines II Lab
WEDNESDAY,11:50,13:30,Web Programming,CSE 3.5,TLFR4
MONDAY,11:50,13:30,Web Programming,CSE 3.5,TLGL3
