Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,11:50,13:30,Computer Aided Machine Drawing Laboratory,AUTO 2.1,Auto CAD Lab
TUESDAY,15:50,17:30,Computer Aided Machine Drawing Laboratory,AUTO 2.1,Auto CAD Lab
MONDAY,11:50,13:30,Computer Aided Vehicle Design Data Characteristics Laboratory,AUTO 3.1,Auto CAD Lab
MONDAY,11:00,11:50,Automotive Electrical and Electronics,AUTO 3.1,C103
FRIDAY,10:00,10:50,Automotive Electrical and Electronics,AUTO 3.1,B422
MONDAY,10:00,10:50,Automotive Electrical and Electronics,AUTO 3.1,B405
MONDAY,13:50,15:30,Automotive Electrical and Electronics,AUTO 3.1,Electrical Machines II Lab
THURSDAY,10:00,10:50,Intelligent Vehicle System,AUTO 4.1,C301
FRIDAY,09:00,09:50,Intelligent Vehicle System,AUTO 4.1,C202
FRIDAY,08:00,08:50,Intelligent Vehicle System,AUTO 4.1,A204
