Day,StartTime,EndTime,Course,Groups,Room
WEDNESDAY,10:00,10:50,Analog Circuits –I,ECE 2.6,A205
SATURDAY,10:00,10:50,Analog Circuits –I,ECE 2.6,A308
TUESDAY,10:00,10:50,Analog Circuits –I,ECE 2.6,B210
WEDNESDAY,08:00,09:40,Analog and Digital Circuits Laboratory,ECE 2.5,Digital Lab-2
SATURDAY,11:50,13:30,Analog and Digital Circuits Laboratory,ECE 2.5,Digital Lab-2
THURSDAY,09:50,11:30,Analog and Digital Circuits Laboratory,ECE 2.5,Digital Lab-1
THURSDAY,08:00,09:40,Analog and Digital Circuits Laboratory,ECE 2.5,Digital Lab-1
TUESDAY,11:50,13:30,Industrial Internship,ECE 3.1,TLGL4
THURSDAY,11:50,13:30,Industrial Internship,ECE 3.1,Fluid Mechanics Lab
SATURDAY,14:00,14:50,Analog and Digital Communication,IT 2.4,B106
FRIDAY,15:00,15:50,Analog and Digital Communication,IT 2.4,A308
WEDNESDAY,11:00,11:50,Analog and Digital Communication,IT 2.4,A210
