Day,StartTime,EndTime,Course,Groups,Room
FRIDAY,10:00,10:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.1,A205
SATURDAY,08:00,08:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.1,B425
THURSDAY,14:00,14:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.1,A305
TUESDAY,11:00,11:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.3,B408
SATURDAY,15:00,15:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.3,B106
SATURDAY,10:00,10:50,PROTEIN ENGINEERING TECHNIQUES,BT 4.3,B211
WEDNESDAY,08:00,09:40,Artificial Intelligence and Machine Learning for Biotechnologist,BT 4.2,Heat Transfer Lab
FRIDAY,11:50,13:30,Artificial Intelligence and Machine Learning for Biotechnologist,BT 4.2,KFR02
THURSDAY,15:50,17:30,Artificial Intelligence and Machine Learning for Biotechnologist,BT 4.2,Soil Mechanics & Highway Lab
SATURDAY,11:50,13:30,Artificial Intelligence and Machine Learning for Biotechnologist,BT 4.2,Vehicle Maintenance Lab
