Day,StartTime,EndTime,Course,Groups,Room
WEDNESDAY,09:00,09:50,Database Technology,CSBS 2.2,A209
MONDAY,11:00,11:50,Database Technology,CSBS 2.2,B425
WEDNESDAY,14:00,14:50,Database Technology,CSBS 2.2,B211
MONDAY,17:30,19:10,Database Technology,CSBS 2.2,Mech CAD Lab
MONDAY,11:50,13:30,Database Technology,CSBS 2.2,Technical Analysis Lab
TUESDAY,18:00,18:50,Usability Design of Software  Applications,CSBS 4.2,A102
THURSDAY,11:00,11:50,Usability Design of Software  Applications,CSBS 4.2,B213
WEDNESDAY,11:00,11:50,Usability Design of Software  Applications,CSBS 4.2,B426
WEDNESDAY,11:50,13:30,Usability Design of Software  Applications,CSBS 4.2,Communication Systems Lab
THURSDAY,13:50,15:30,Usability Design of Software  Applications,CSBS 4.2,Communication Systems Lab
