Day,StartTime,EndTime,Course,Group,Room
SATURDAY,11:00,11:50,Basic Electrical and Electronics Engineering,IT 1.2,D204
SATURDAY,14:00,14:50,Basic Electrical and Electronics Engineering,IT 1.2,D204
SATURDAY,08:00,08:50,Basic Electrical and Electronics Engineering,IT 1.2,D205
TUESDAY,10:00,11:40,Basic Electrical and Electronics Engineering,IT 1.2,Basic Electronics Lab-1
TUESDAY,11:50,13:20,Basic Electrical and Electronics Engineering,IT 1.2,Basic Electronics Lab-1
TUESDAY,15:00,16:40,Engineering Practices – Electrical and Electronics,R&A 1.1,Engineering Practices Lab (Electronics)
WEDNESDAY,13:20,15:00,Engineering Practices – Electrical and Electronics,R&A 1.1,Engineering Practices Lab (Electronics)
