Day,StartTime,EndTime,Course,Groups,Room
FRIDAY,10:00,10:50,Kinematics of Machinery,MECH 2.1,C307
WEDNESDAY,15:00,15:50,Kinematics of Machinery,MECH 2.1,B322
FRIDAY,17:00,17:50,Kinematics of Machinery,MECH 2.1,C301
MONDAY,09:50,11:30,Component Modeling Laboratory,MECH 3.2,Mech CAD Lab
TUESDAY,11:50,13:30,Component Modeling Laboratory,MECH 3.2,Mech CAD Lab
THURSDAY,11:50,13:30,Component Modeling Laboratory,MECH 3.2,Mech CAD Lab
TUESDAY,09:50,11:30,Component Modeling Laboratory,MECH 3.2,Mech CAD Lab
