Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,16:00,16:50,Essentials of Human Resources  Management,CSBS 4.1,B423
WEDNESDAY,11:00,11:50,Essentials of Human Resources  Management,CSBS 4.1,B422
