Day,StartTime,EndTime,Course,Groups,Room
WEDNESDAY,17:00,17:50,Database Management Systems,IT 2.2,B410
WEDNESDAY,12:00,12:50,Database Management Systems,IT 2.2,B211
FRIDAY,10:00,10:50,Database Management Systems,IT 2.2,B415
TUESDAY,13:50,15:30,Database Management Systems,IT 2.2,Digital Lab-2
FRIDAY,11:50,13:30,Database Management Systems,IT 2.2,Heat Transfer Lab
THURSDAY,11:50,13:30,Database Management Systems,IT 2.2,Technical Analysis Lab
SATURDAY,11:50,13:30,Database Management Systems,IT 2.2,Fluid Mechanics Lab
THURSDAY,09:50,11:30,Industry Practices Lab,IT 4.1,Aero CAD Lab
SATURDAY,09:50,11:30,Industry Practices Lab,IT 4.1,Physics LAB - 2
FRIDAY,15:50,17:30,Industry Practices Lab,IT 4.1,Networks Lab
TUESDAY,11:50,13:30,Industry Practices Lab,IT 4.1,Computer Application in Chemical Engg Lab
