Day,StartTime,EndTime,Course,Groups,Room
SATURDAY,09:00,09:50,Digital Image Processing Techniques,BME 4.2,C301
TUESDAY,10:00,10:50,Digital Image Processing Techniques,BME 4.2,B410
THURSDAY,15:00,15:50,Digital Image Processing Techniques,BME 4.2,B212
SATURDAY,09:50,11:30,Digital Image Processing Techniques,BME 4.2,Medical Image Processing Lab
TUESDAY,15:50,17:30,Digital Image Processing Techniques,BME 4.2,Medical Image Processing Lab
