Day,StartTime,EndTime,Course,Groups,Room
SATURDAY,15:50,17:30,Embedded Laboratory,ECE 4.2,Embedded System Laboratory (ECE)
THURSDAY,15:50,17:30,Embedded Laboratory,ECE 4.2,Embedded System Laboratory (ECE)
THURSDAY,11:50,13:30,Embedded Laboratory,ECE 4.2,Embedded System Laboratory (ECE)
THURSDAY,09:50,11:30,Embedded Laboratory,ECE 4.2,Embedded System Laboratory (ECE)
WEDNESDAY,11:00,11:50,Optical Communication and Networks,ECE 4.2,B408
WEDNESDAY,10:00,10:50,Optical Communication and Networks,ECE 4.2,A103
TUESDAY,17:00,17:50,Optical Communication and Networks,ECE 4.2,B322
