Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,10:00,10:50,Design and Analysis of Algorithms,CSE 2.4,A304
WEDNESDAY,10:00,10:50,Design and Analysis of Algorithms,CSE 2.4,C201
TUESDAY,12:00,12:50,Design and Analysis of Algorithms,CSE 2.4,A203
THURSDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.4,TLFL4
FRIDAY,08:00,09:40,Design and Analysis of Algorithms,CSE 2.4,TLFR5
WEDNESDAY,17:00,17:50,Design and Analysis of Algorithms,CSE 2.10,A110
MONDAY,11:00,11:50,Design and Analysis of Algorithms,CSE 2.10,B325
FRIDAY,11:00,11:50,Design and Analysis of Algorithms,CSE 2.10,A310
MONDAY,17:30,19:10,Design and Analysis of Algorithms,CSE 2.10,Electrical Machines I Lab
MONDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.10,Basic Electronics Lab-1
FRIDAY,10:00,10:50,Fundamentals of Mobile Computing,CSE 3.2,C102
MONDAY,16:00,16:50,Fundamentals of Mobile Computing,CSE 3.2,B403
THURSDAY,09:00,09:50,Fundamentals of Mobile Computing,CSE 3.2,C308
