Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,11:00,11:50,Foundations of Artificial Intelligence,CSE 3.3,A309
THURSDAY,08:00,08:50,Foundations of Artificial Intelligence,CSE 3.3,A304
THURSDAY,09:00,09:50,Foundations of Artificial Intelligence,CSE 3.3,B417
MONDAY,11:50,13:30,Foundations of Artificial Intelligence,CSE 3.3,Genetic Engineering Lab
TUESDAY,17:30,19:10,Foundations of Artificial Intelligence,CSE 3.3,JL3
