Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,09:00,09:50,Modern Digital Communication,ECE 3.1,A308
FRIDAY,13:00,13:50,Modern Digital Communication,ECE 3.1,C102
SATURDAY,11:00,11:50,Modern Digital Communication,ECE 3.1,C302
TUESDAY,14:00,14:50,Wireless Networks,ECE 4.1,B426
THURSDAY,17:00,17:50,Wireless Networks,ECE 4.1,B410
FRIDAY,18:00,18:50,Wireless Networks,ECE 4.1,A211
THURSDAY,13:00,13:50,Wireless Networks,ECE 4.3,A102
WEDNESDAY,08:00,08:50,Wireless Networks,ECE 4.3,B409
SATURDAY,10:00,10:50,Wireless Networks,ECE 4.3,B212
