Day,StartTime,EndTime,Course,Groups,Room
SATURDAY,15:00,15:50,3D Printing and Design,CSD 4.1,A103
WEDNESDAY,09:00,09:50,3D Printing and Design,CSD 4.1,C103
FRIDAY,11:00,11:50,3D Printing and Design,CSD 4.1,B211
FRIDAY,11:50,13:30,3D Printing and Design,CSD 4.1,TLFL5
THURSDAY,11:50,13:30,3D Printing and Design,CSD 4.1,Thermal Lab 1
THURSDAY,08:00,09:40,3D Printing and Design,CSD 4.1,Baking Lab
THURSDAY,09:50,11:30,3D Printing and Design,CSD 4.1,Strength of Materials Lab
MONDAY,10:00,10:50,Metrology and Measurements,MECH 3.1,A109
WEDNESDAY,11:00,11:50,Metrology and Measurements,MECH 3.1,C302
MONDAY,17:00,17:50,Metrology and Measurements,MECH 3.1,A102
WEDNESDAY,15:50,17:30,Metrology and Measurements,MECH 3.1,Metrology & Measurement Lab
MONDAY,11:50,13:30,Metrology and Measurements,MECH 3.1,Metrology & Measurement Lab
