Day,StartTime,EndTime,Course,Groups,Room
SATURDAY,17:00,17:50,Database Management Systems,CSE-CS 2.1,B424
FRIDAY,09:00,09:50,Database Management Systems,CSE-CS 2.1,B212
MONDAY,09:00,09:50,Database Management Systems,CSE-CS 2.1,B424
TUESDAY,17:30,19:10,Database Management Systems,CSE-CS 2.1,TLFR3
SATURDAY,11:50,13:30,Database Management Systems,CSE-CS 2.1,Process Control Lab
FRIDAY,09:50,11:30,Database Management Systems,CSE-CS 2.1,Technical Analysis Lab
TUESDAY,11:50,13:30,Database Management Systems,CSE-CS 2.1,JL2
FRIDAY,08:00,08:50,Cyber and Digital Forensics,CSE-CS 3.1,A102
THURSDAY,13:00,13:50,Cyber and Digital Forensics,CSE-CS 3.1,C301
MONDAY,11:00,11:50,Cyber and Digital Forensics,CSE-CS 3.1,C202
MONDAY,11:50,13:30,Cyber and Digital Forensics,CSE-CS 3.1,JR2
FRIDAY,11:50,13:30,Cyber and Digital Forensics,CSE-CS 3.1,Metrology & Measurement Lab
