Day,StartTime,EndTime,Course,Groups,Room
TUESDAY,11:00,11:50,Electromagnetic Fields,ECE 2.3,B423
SATURDAY,10:00,10:50,Electromagnetic Fields,ECE 2.3,B403
SATURDAY,08:00,08:50,Electromagnetic Fields,ECE 2.3,C102
WEDNESDAY,13:50,15:30,Industrial Internship,ECE 3.2,TLFR5
THURSDAY,11:50,13:30,Industrial Internship,ECE 3.2,TLGL3
