Day,StartTime,EndTime,Course,Groups,Room
FRIDAY,15:00,15:50,Design and Analysis of Algorithms,CSE 2.3,B210
MONDAY,10:00,10:50,Design and Analysis of Algorithms,CSE 2.3,A209
FRIDAY,09:00,09:50,Design and Analysis of Algorithms,CSE 2.3,C308
FRIDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.3,Microprocessor Lab-1
MONDAY,15:50,17:30,Design and Analysis of Algorithms,CSE 2.3,Isaac Asimov Laboratory
WEDNESDAY,09:00,09:50,Design and Analysis of Algorithms,CSE 2.9,B417
TUESDAY,17:00,17:50,Design and Analysis of Algorithms,CSE 2.9,A309
MONDAY,11:00,11:50,Design and Analysis of Algorithms,CSE 2.9,A110
WEDNESDAY,09:50,11:30,Design and Analysis of Algorithms,CSE 2.9,Microbiology Lab
MONDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.9,Embedded System Laboratory(EEE)
