Day,StartTime,EndTime,Course,Groups,Room
FRIDAY,15:00,15:50,Web Programming,CSD 3.1,B219
TUESDAY,14:00,14:50,Web Programming,CSD 3.1,B410
SATURDAY,11:00,11:50,Web Programming,CSD 3.1,C102
WEDNESDAY,13:50,15:30,Web Programming,CSD 3.1,Chemistry Lab
THURSDAY,09:50,11:30,Web Programming,CSD 3.1,Aerodynamics Lab
SATURDAY,11:50,13:30,Web Programming,CSD 3.1,Microprocessor and Microcontrollers Lab
TUESDAY,08:00,09:40,Web Programming,CSD 3.1,Chemistry Lab
TUESDAY,13:00,13:50,Digital Media Entrepreneurship,CSD 4.1,B403
TUESDAY,12:00,12:50,Digital Media Entrepreneurship,CSD 4.1,B211
THURSDAY,08:00,09:40,Digital Media Entrepreneurship,CSD 4.1,JL1
FRIDAY,11:50,13:30,Digital Media Entrepreneurship,CSD 4.1,Process Control Lab
