Day,StartTime,EndTime,Course,Groups,Room
FRIDAY,08:00,08:50,Power Electronics,EEE 3.2,B425
WEDNESDAY,13:00,13:50,Power Electronics,EEE 3.2,A204
TUESDAY,11:00,11:50,Power Electronics,EEE 3.2,C201
