Day,StartTime,EndTime,Course,Groups,Room
THURSDAY,11:00,11:50,Analytical Techniques in Biotechnology,BT 2.2,B408
TUESDAY,15:00,15:50,Analytical Techniques in Biotechnology,BT 2.2,B412
TUESDAY,15:50,17:30,Analytical Techniques in Biotechnology,BT 2.2,Biochemistry Lab
TUESDAY,17:30,19:10,Analytical Techniques in Biotechnology,BT 2.2,Biochemistry Lab
THURSDAY,11:50,13:30,Bioinformatics Laboratory,BT 4.3,Electrical Machines I Lab
WEDNESDAY,09:50,11:30,Bioinformatics Laboratory,BT 4.3,Power System Simulation Lab
FRIDAY,13:50,15:30,Bioinformatics Laboratory,BT 4.3,TLFR4
WEDNESDAY,11:50,13:30,Bioinformatics Laboratory,BT 4.3,Microbiology Lab
FRIDAY,11:00,11:50,Bioinformatics,BT 4.1,A309
WEDNESDAY,09:00,09:50,Bioinformatics,BT 4.1,B424
TUESDAY,14:00,14:50,Bioinformatics,BT 4.1,B221
