day,time_range,teacher_id,teacher_name
tuesday,3:00 - 3:50 to 3:50 - 4:40,1782,New Faculty Artificial Intelligence & Machine Learning (NS-AIML-NS1)
tuesday,1:20 - 2:10 to 2:10 - 3:00,1782,New Faculty Artificial Intelligence & Machine Learning (NS-AIML-NS1)
saturday,3:00 - 3:50 to 3:50 - 4:40,1782,New Faculty Artificial Intelligence & Machine Learning (NS-AIML-NS1)
thur,1:20 - 2:10 to 2:10 - 3:00,1782,New Faculty Artificial Intelligence & Machine Learning (NS-AIML-NS1)
thur,1:00 - 1:50,1782,New Faculty Artificial Intelligence & Machine Learning (NS-AIML-NS1)
thur,2:00 - 2:50,1782,New Faculty Artificial Intelligence & Machine Learning (NS-AIML-NS1)
fri,8:00 - 8:50,1782,New Faculty Artificial Intelligence & Machine Learning (NS-AIML-NS1)
fri,10:00 - 10:50,1782,New Faculty Artificial Intelligence & Machine Learning (NS-AIML-NS1)
fri,11:00 - 11:50,1782,New Faculty Artificial Intelligence & Machine Learning (NS-AIML-NS1)
